id,name,email,phone,email_verified_at,wallet,password,version,teacher_id,image,level,parent_id,account,status,school,gender,fcm,remember_token,classroom,flipbank,id_type,generated_password,saving,credit,trans_id,password_updated,token,first_noti,flipbankname,xp,code,last_lesson_page,ip,created_at,updated_at,account_generated,country,home_state,age
1,Alex Johnson,alex.johnson@student.edu,,1/15/2024 12:00,25.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/alex_j.jpg,3,60,STU001,active,1,Male,fcm_student_001,student_remember_001,101,1,student_id,temp123,12.75,5.25,trans_001,1,student_token_001,1,Alex FlipBank,150,AL001,/courses/math/lesson3,192.168.1.10,2023-08-20 00:00:00,2023-09-28 00:00:00,STU001,USA,Florida,16
2,Emma Davis,emma.davis@student.edu,,1/16/2024 10:30,18.75,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/emma_d.jpg,2,88,STU002,active,1,Non-binary,fcm_student_002,student_remember_002,101,2,student_id,temp456,8.5,3.75,trans_002,1,student_token_002,1,Emma FlipBank,120,EM002,/courses/english/lesson2,192.168.1.11,2023-07-31 00:00:00,2023-09-12 00:00:00,STU002,USA,Washington,17
3,Noah Brown,noah.brown@student.edu,,1/17/2024 9:15,32.0,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/noah_b.jpg,4,92,STU003,active,1,Female,fcm_student_003,student_remember_003,102,3,student_id,temp789,15.0,8.5,trans_003,1,student_token_003,0,Noah FlipBank,200,NO003,/courses/science/lesson1,192.168.1.12,2023-04-05 00:00:00,2023-06-22 00:00:00,STU003,Canada,Ontario,15
4,Sophia Wilson,sophia.wilson@student.edu,,1/18/2024 11:00,21.25,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/sophia_w.jpg,3,39,STU004,active,2,Female,fcm_student_004,student_remember_004,201,4,student_id,temp012,10.75,4.25,trans_004,1,student_token_004,1,Sophia FlipBank,175,SO004,/courses/writing/lesson4,192.168.1.13,2023-02-06 00:00:00,2023-07-08 00:00:00,STU004,USA,Texas,11
5,Liam Martinez,liam.martinez@student.edu,,1/20/2024 15:45,14.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.0,3,/profiles/liam_m.jpg,1,34,STU005,active,2,Female,fcm_student_005,student_remember_005,201,5,student_id,temp345,5.25,2.0,trans_005,0,student_token_005,0,Liam FlipBank,85,LI005,/courses/history/lesson1,192.168.1.14,2023-08-12 00:00:00,2023-11-16 00:00:00,STU005,Canada,Nova Scotia,12
6,Alex Johnson,alex.johnson@student.edu,,1/15/2024 12:00,25.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/alex_j.jpg,3,27,STU006,active,1,Male,fcm_student_001,student_remember_001,101,1,student_id,temp123,12.75,5.25,trans_001,1,student_token_001,1,Alex FlipBank,150,AL001,/courses/math/lesson3,192.168.1.10,2023-02-20 00:00:00,2023-06-20 00:00:00,STU006,Canada,Alberta,18
7,Emma Davis,emma.davis@student.edu,,1/16/2024 10:30,18.75,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,1,/profiles/emma_d.jpg,2,40,STU007,active,1,Female,fcm_student_002,student_remember_002,101,2,student_id,temp456,8.5,3.75,trans_002,1,student_token_002,1,Emma FlipBank,120,EM002,/courses/english/lesson2,192.168.1.11,2023-08-24 00:00:00,2024-02-18 00:00:00,STU007,USA,Texas,18
8,Noah Brown,noah.brown@student.edu,,1/17/2024 9:15,32.0,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/noah_b.jpg,4,61,STU008,active,1,Prefer not to say,fcm_student_003,student_remember_003,102,3,student_id,temp789,15.0,8.5,trans_003,1,student_token_003,0,Noah FlipBank,200,NO003,/courses/science/lesson1,192.168.1.12,2023-09-27 00:00:00,2024-01-21 00:00:00,STU008,USA,Washington,11
9,Sophia Wilson,sophia.wilson@student.edu,,1/18/2024 11:00,21.25,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.1,2,/profiles/sophia_w.jpg,3,58,STU009,active,2,Male,fcm_student_004,student_remember_004,201,4,student_id,temp012,10.75,4.25,trans_004,1,student_token_004,1,Sophia FlipBank,175,SO004,/courses/writing/lesson4,192.168.1.13,2023-04-26 00:00:00,2023-09-08 00:00:00,STU009,USA,Texas,18
10,Liam Martinez,liam.martinez@student.edu,,1/20/2024 15:45,14.5,$2y$10$92IXUNpkjO0rOQ5byMi.Ye4oKoEa3Ro9llC/.og/at2.uheWG/igi,2.0,3,/profiles/liam_m.jpg,1,45,STU010,active,2,Female,fcm_student_005,student_remember_005,201,5,student_id,temp345,5.25,2.0,trans_005,0,student_token_005,0,Liam FlipBank,85,LI005,/courses/history/lesson1,192.168.1.14,2023-09-03 00:00:00,2023-11-17 00:00:00,STU010,Canada,Quebec,16
